driver,behavior,model,mean_p_normal,sd_p_normal,n_trips
D1,AGGRESSIVE,LogisticRegression,0.3594148549250435,0.027161925948364484,2
D1,DROWSY,LogisticRegression,0.3309349586630962,0.03650482511895309,2
D1,NORMAL,LogisticRegression,0.5660663258936084,0.02124466660968319,3
D2,AGGRESSIVE,LogisticRegression,0.22020168216363722,0.032330567771231104,2
D2,DROWSY,LogisticRegression,0.2650950572070558,0.006966931025078356,2
D2,NORMAL,LogisticRegression,0.6576464235063727,0.043236942156344924,3
D3,AGGRESSIVE,LogisticRegression,0.3019642456459408,0.0953320601460992,2
D3,DROWSY,LogisticRegression,0.411448160187344,0.04719893534388462,2
D3,NORMAL,LogisticRegression,0.5064168303193717,0.021336474988384816,3
D4,AGGRESSIVE,LogisticRegression,0.30922492812749336,0.06095999436851749,2
D4,DROWSY,LogisticRegression,0.3419775731812388,0.03224869100020247,2
D4,NORMAL,LogisticRegression,0.551239344608596,0.040743183360083576,3
D5,AGGRESSIVE,LogisticRegression,0.41284332989065553,0.05097362045835512,2
D5,DROWSY,LogisticRegression,0.3209577653547742,0.15047635673202261,2
D5,NORMAL,LogisticRegression,0.5457493626295835,0.03511105526016696,3
D6,AGGRESSIVE,LogisticRegression,0.21348996720952756,,1
D6,DROWSY,LogisticRegression,0.3316606986301436,0.06646218475175347,2
D6,NORMAL,LogisticRegression,0.5262549528787279,0.03240739649222261,2
D1,AGGRESSIVE,RandomForest,0.15897392689361572,0.01040130879187085,2
D1,DROWSY,RandomForest,0.11200451631644874,0.06464080816668832,2
D1,NORMAL,RandomForest,0.8357898241321601,0.05771124849598835,3
D2,AGGRESSIVE,RandomForest,0.16364738486820365,0.014459021030889446,2
D2,DROWSY,RandomForest,0.1467890309981975,0.00113103956060529,2
D2,NORMAL,RandomForest,0.8023883464914575,0.02861035159274805,3
D3,AGGRESSIVE,RandomForest,0.12707969318711154,0.1320153574245069,2
D3,DROWSY,RandomForest,0.21617247198542777,0.01691085562660537,2
D3,NORMAL,RandomForest,0.7074190201770731,0.021048792483091845,3
D4,AGGRESSIVE,RandomForest,0.19134087880116568,0.04384857519639063,2
D4,DROWSY,RandomForest,0.23475038071072185,0.0238310450787409,2
D4,NORMAL,RandomForest,0.7141498991703257,0.016926787091293926,3
D5,AGGRESSIVE,RandomForest,0.19443584769090352,0.06894479109873246,2
D5,DROWSY,RandomForest,0.17214794894916127,0.2222763305248467,2
D5,NORMAL,RandomForest,0.760324099059129,0.02863145848468515,3
D6,AGGRESSIVE,RandomForest,0.09093252076592337,,1
D6,DROWSY,RandomForest,0.15557946589079885,0.11225809216444704,2
D6,NORMAL,RandomForest,0.7723665297916911,0.022824906692516984,2
D1,AGGRESSIVE,XGBoost,0.08457216248536645,0.04894735694056959,2
D1,DROWSY,XGBoost,0.027636588039395765,0.006220779994970056,2
D1,NORMAL,XGBoost,0.9304853242904839,0.04270870616278051,3
D2,AGGRESSIVE,XGBoost,0.0929845844084662,0.006600186499584432,2
D2,DROWSY,XGBoost,0.0782621941802158,0.02395091361377695,2
D2,NORMAL,XGBoost,0.8857843605367003,0.03276024701113023,3
D3,AGGRESSIVE,XGBoost,0.07535132844519131,0.07973086951225371,2
D3,DROWSY,XGBoost,0.15397142383740184,0.03696462429005573,2
D3,NORMAL,XGBoost,0.8219479979257428,0.019795589363873232,3
D4,AGGRESSIVE,XGBoost,0.10211004331471679,0.05104377393197607,2
D4,DROWSY,XGBoost,0.15015179206810259,0.020393832023491657,2
D4,NORMAL,XGBoost,0.8288292379585233,0.015593963033781463,3
D5,AGGRESSIVE,XGBoost,0.1012349536003711,0.014821228156679894,2
D5,DROWSY,XGBoost,0.08169940163999723,0.10438093006418446,2
D5,NORMAL,XGBoost,0.8912918732626082,0.012392070685294524,3
D6,AGGRESSIVE,XGBoost,0.041694291403853015,,1
D6,DROWSY,XGBoost,0.05384818343940604,0.037196555879728976,2
D6,NORMAL,XGBoost,0.9098715478854549,0.02675051241645262,2
