,0
yaw_rms,0.29538065
acc_y_rms,0.21140485
yaw_mean,0.20466472
acc_y_acf_lag1,0.10188684
yaw_sample_entropy,0.10181816
acc_z_range,0.07770199
corr_acc_y_pitch,0.068413146
acc_y_acf_lag5,0.055409566
roll_min,0.054902136
pitch_mean,0.054121636
acc_y_range,0.04804742
acc_y_min,0.044671353
acc_z_acf_lag1,0.03922426
roll_max,0.036001015
acc_z_min,0.035983652
acc_y_max,0.03299041
acc_z_energy_low,0.03286848
yaw_var,0.031000657
acc_y_kurt,0.029500732
pitch_spectral_entropy,0.026961863
corr_pitch_yaw,0.025389789
corr_acc_y_acc_z,0.023182757
acc_x_acf_lag1,0.022003053
acc_z_zcr,0.020804165
acc_y_energy_high,0.020775624
acc_x_spectral_entropy,0.020291002
acc_z_kurt,0.018514829
pitch_spectral_centroid,0.017956
pitch_kurt,0.017112251
acc_y_energy_mid,0.01705987
pitch_rms,0.016887126
acc_y_mean,0.016074356
roll_skew,0.015896482
corr_acc_x_acc_z,0.015835736
acc_z_acf_lag5,0.015593073
acc_x_min,0.014820089
acc_x_dom_freq,0.014710539
acc_z_energy_mid,0.014330497
corr_roll_pitch,0.014043274
corr_acc_x_acc_y,0.013703093
acc_y_spectral_centroid,0.013561541
acc_y_acf_lag10,0.013516208
corr_acc_y_yaw,0.013164281
acc_x_acf_lag5,0.012928756
yaw_iqr,0.012508552
acc_y_skew,0.012461824
corr_acc_y_roll,0.012291401
acc_x_max,0.01219606
acc_x_spectral_centroid,0.012178368
corr_acc_x_roll,0.011806754
corr_roll_yaw,0.011747961
acc_y_spectral_entropy,0.011499719
acc_x_energy_mid,0.010385117
pitch_energy_low,0.01024848
acc_x_acf_lag10,0.009796071
acc_x_energy_high,0.009428314
corr_acc_z_pitch,0.0090641985
acc_y_sample_entropy,0.009039715
corr_acc_x_yaw,0.009019503
pitch_sample_entropy,0.008916607
acc_z_sample_entropy,0.0080365185
roll_acf_lag10,0.007982023
acc_z_skew,0.0077901683
roll_mean,0.007716429
pitch_skew,0.007492489
roll_acf_lag5,0.0074536717
acc_z_energy_high,0.007395153
yaw_kurt,0.0072478913
yaw_spectral_centroid,0.0071311747
acc_y_energy_low,0.0070695123
yaw_spectral_entropy,0.0068687717
acc_z_spectral_entropy,0.006487284
acc_x_kurt,0.0064187804
acc_x_range,0.0063808397
pitch_acf_lag5,0.0063518635
corr_acc_x_pitch,0.0063501177
corr_acc_z_roll,0.006339019
acc_x_skew,0.0063185953
roll_kurt,0.0063053495
acc_y_mcr,0.0061301156
roll_sample_entropy,0.0060225534
acc_x_mcr,0.0060133203
yaw_acf_lag5,0.0058849766
acc_y_dom_freq,0.005857634
yaw_acf_lag1,0.005746923
acc_x_energy_low,0.0053602187
acc_z_acf_lag10,0.0053410428
acc_x_zcr,0.004903957
acc_z_mcr,0.0048944
pitch_acf_lag10,0.004772877
yaw_skew,0.004682083
pitch_acf_lag1,0.004658688
acc_y_zcr,0.0041656415
roll_acf_lag1,0.0040018223
corr_acc_z_yaw,0.0039724847
acc_x_sample_entropy,0.0038011104
yaw_acf_lag10,0.0034653987
acc_z_dom_freq,0.0032674358
pitch_zcr,0.0025314775
roll_mcr,0.0022918002
pitch_mcr,0.0012004123
pitch_dom_freq,0.00028261906
