trip_id,driver,behavior,road,model,mean_p_normal,sd_p_normal,n_windows
0,D1,NORMAL,SECONDARY,LogisticRegression,0.5627486417413833,0.1594183402591236,248
1,D1,NORMAL,SECONDARY,LogisticRegression,0.5887746474943112,0.15272911386535318,261
2,D1,NORMAL,MOTORWAY,LogisticRegression,0.5466756884451307,0.17561108438360096,349
3,D1,AGGRESSIVE,MOTORWAY,LogisticRegression,0.37862123695321886,0.16463399302880227,294
4,D1,DROWSY,MOTORWAY,LogisticRegression,0.30512214927545545,0.1645642344377822,378
5,D1,AGGRESSIVE,SECONDARY,LogisticRegression,0.3402084728968681,0.16418290895453186,213
6,D1,DROWSY,SECONDARY,LogisticRegression,0.35674776805073694,0.17397134460821112,201
7,D2,NORMAL,MOTORWAY,LogisticRegression,0.6189135002193448,0.21868823193954723,372
8,D2,AGGRESSIVE,MOTORWAY,LogisticRegression,0.243062845874286,0.2083106791782937,350
9,D2,DROWSY,MOTORWAY,LogisticRegression,0.27002142137894763,0.21305375381798664,379
10,D2,NORMAL,SECONDARY,LogisticRegression,0.6497318723889566,0.16772807271879472,260
11,D2,NORMAL,SECONDARY,LogisticRegression,0.7042938979108166,0.18131277141521848,276
12,D2,AGGRESSIVE,SECONDARY,LogisticRegression,0.19734051845298847,0.20383613051612454,247
13,D2,DROWSY,SECONDARY,LogisticRegression,0.26016869303516393,0.22138963270520934,261
14,D3,NORMAL,MOTORWAY,LogisticRegression,0.48713003437110786,0.1475363245491373,365
15,D3,DROWSY,MOTORWAY,LogisticRegression,0.3780734729408977,0.11363733714062632,410
16,D3,NORMAL,SECONDARY,LogisticRegression,0.5293365151037339,0.12101981449927664,281
17,D3,NORMAL,SECONDARY,LogisticRegression,0.5027839414832732,0.12296222363621381,268
18,D3,AGGRESSIVE,SECONDARY,LogisticRegression,0.3693741918397314,0.12037982807360674,272
19,D3,DROWSY,SECONDARY,LogisticRegression,0.4448228474337902,0.10628136463175085,265
20,D3,AGGRESSIVE,MOTORWAY,LogisticRegression,0.23455429945215028,0.1506491050162093,335
