driver,behavior,road,trip_id,window_id,p_normal,p_drowsy,p_aggressive,pred_label,true_label,model
D1,NORMAL,SECONDARY,0,0,0.6629943113804172,0.09369802646214472,0.2433076621574381,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,1,0.6494875297103709,0.10562372957916134,0.24488874071046773,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,2,0.7174693574346911,0.07552309025628327,0.20700755230902562,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,3,0.6574805510871939,0.2094808623291803,0.13303858658362575,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,4,0.5445047241073763,0.36409406796060473,0.09140120793201902,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,5,0.44190023477580365,0.3652068055998377,0.1928929596243587,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,6,0.6318771675594705,0.09174984124916556,0.276372991191364,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,7,0.4677437080997912,0.5099461479283438,0.02231014397186504,DROWSY,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,8,0.43703401677539605,0.24516542404473438,0.3178005591798695,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,9,0.2522563626743553,0.6699115858568044,0.07783205146884034,DROWSY,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,10,0.06809965976750779,0.6972108023816274,0.23468953785086474,DROWSY,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,11,0.3573088317874639,0.3720736595472765,0.2706175086652595,DROWSY,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,12,0.2207850133809099,0.4014272970561998,0.37778768956289027,DROWSY,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,13,0.17091527069677104,0.38844379703811605,0.44064093226511286,AGGRESSIVE,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,14,0.35133149826852755,0.2422850592898138,0.4063834424416587,AGGRESSIVE,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,15,0.4371838111298482,0.30002810567734683,0.2627880831928049,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,16,0.41588462600055204,0.23330113165884628,0.3508142423406017,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,17,0.41588462600055204,0.23330113165884628,0.3508142423406017,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,18,0.5637212653417751,0.11824860212388077,0.31803013253434403,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,19,0.5371948093033966,0.20154651294795692,0.2612586777486465,NORMAL,NORMAL,LogisticRegression
D1,NORMAL,SECONDARY,0,20,0.2522563626743553,0.6699115858568044,0.07783205146884034,DROWSY,NORMAL,LogisticRegression
